小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
中达天骄府,南康广场天街惠民路,4室2厅2卫,135㎡,南,高层(共32层),2018年建造,7378元/㎡,99.6万,体育广场旁 全新装修未入住4房2厅2卫 南北通透 视野好
红星中央广场,南康广场天街赣南大道,4室2厅2卫,115㎡,南北,高层(共33层),2021年建造,8679元/㎡,99.8万,远洋红星天铂四房两厅拎包入住仅售99.8万十二小十二中
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,6室2厅3卫,261.8㎡,南北,低层(共17层),2020年建造,6876元/㎡,180万,碧桂园大平层6房两厅三卫急售
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,4室2厅2卫,144.36㎡,南北,高层(共17层),2020年建造,7274元/㎡,105万,人士成功住宅繁荣生活从此开始
恒大江湾,南康广场天街金赣北大道,5室2厅2卫,135㎡,南北,高层(共19层),2021年建造,7186元/㎡,97万,千亩蓉江湾 城市中芯 滨江美宅 创意4加1 七米南向大阳台
宝辉幸福城,南康南水大道南山大道,4室2厅2卫,112.06㎡,南北,中层(共28层),2016年建造,10049元/㎡,112.6万,带产权车位！宝辉幸福城 豪华装修 四房两厅 112.6万！
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,4室2厅2卫,143㎡,南北,高层(共17层),2017年建造,7623元/㎡,109万,碧桂园小高层四房两厅两卫双阳台 视野无遮挡 亏本急售 好停车
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,6室2厅3卫,276㎡,西北,高层(共32层),2021年建造,6848元/㎡,189万,碧桂园大平层单价不到7千 中间楼层视野  棒 带装修
龙祥城南花园,南康天马山大道天马山大道,4室2厅2卫,89㎡,南北,高层(共34层),2016年建造,11214元/㎡,99.8万,龙祥城南花园精装修4房2厅2卫复式楼
天宏银座,南康南山大道南山大道,3室2厅1卫,81㎡,南,高层(共29层),2019年建造,9334元/㎡,75.6万,四小十一中旁 天宏银座中高层精装修3房2厅 房东诚意出售
